artist,song,year
Faith Hill,Breathe,2000
Santana & The Product G,Maria Maria,2000
Joe Thomas,I Wanna Know,2000
Aaliyah,Try Again,2000
Toni Braxton,He Wasn't Man Enough,2000
Rob Thomas & Santana,Smooth,2000
Vertical Horizon,Everything You Want,2000
Destiny's Child,Say My Name,2000
Lonestar,Amazed,2000
Matchbox Twenty,Bent,2000
Madonna,Music,2000
Sisqo,Thong Song,2000
Three Doors Down,Kryptonite,2000
Destiny's Child,Jumpin' Jumpin',2000
Creed,Higher,2000
Pink,There You Go,2000
Sonique,It Feels So Good,2000
Marc Anthony,You Sang To Me,2000
Macy Gray,I Try,2000
N Sync,"Bye, Bye, Bye",2000
Janet Jackson,Doesn't Really Matter,2000
Nelly,(Hot S**t) Country Grammar,2000
Creed,With Arms Wide Open,2000
Savage Garden,I Knew I Loved You,2000
N Sync,It's Gonna Be Me,2000
Christina Aguilera,What A Girl Wants,2000
Montell Jordan,Get It On Tonite,2000
The Backstreet Boys,Show Me The Meaning Of Being Lonely,2000
Sisqo,Incomplete,2000
Eminem,The Real Slim Shady,2000
Sting & Cheb Mami,Desert Rose,2000
Britney Spears,Oops!... I Did It Again,2000
Christina Aguilera,Come On Over Baby (All I Want Is You),2000
Enrique Iglesias,Be With You,2000
Celine Dion,That's The Way It Is,2000
Faith Hill,The Way You Love Me,2000
Ruff Endz,No More,2000
BBMak,Back Here,2000
Nine Days,Absolutely (Story Of A Girl),2000
Bon Jovi,It's My Life,2000
Marc Anthony,I Need To Know,2000
Pink,Most Girls,2000
blink-182,All The Small Things,2000
Destiny's Child,Independent Woman,2000
Brian McKnight,Back At One,2000
Christina Aguilera,I Turn To You,2000
Samantha Mumba,Gotta Tell You,2000
Mya,Case Of The Ex (Whatcha Gonna Do),2000
Mariah Carey,Thank God I Found You,2000
Mary Mary,Shackles (Praise You),2000
LeAnn Rimes,I Need You,2000
Blaque,Bring It All To Me,2000
Next,Wifey,2000
Jagged Edge,Let's Get Married,2000
Third Eye Blind,Never Let You Go,2000
"Missy 'Misdemeanor' Elliott, NAS & Eve",Hot Boyz,2000
Eiffel 65,Blue (Da Ba Dee),2000
Red Hot Chili Peppers,Otherside,2000
Kandi,Don't Think I'm Not,2000
98 Degrees,Give Me Just One Night,2000
Everclear,Wonderful,2000
Madonna,American Pie,2000
Dr Dre & Snoop Dogg,The Next Episode,2000
"Dr Dre, Eminem & Skylar Grey",Forgot About Dre,2000
Mystikal,Shake Ya Ass,2000
SoulDecision & Thrust,Faded,2000
Debelah Morgan,Dance With Me,2000
Son By Four,Purest Of Pain (A Puro Dolor),2000
Whitney Houston & Enrique Iglesias,Could I Have This Kiss Forever,2000
The Backstreet Boys,Shape Of My Heart,2000
Erykah Badu,Bag Lady,2000
N Sync,This I Promise You,2000
Jay-Z & UGK,Big Pimpin',2000
Ricky Martin,She Bangs,2000
Baha Men,Who Let The Dogs Out?,2000
Britney Spears,Lucky,2000
Savage Garden,Crash & Burn,2000
Avant,Separated,2000
Smash Mouth,Then The Morning Comes,2000
Carl Thomas,I Wish,2000
Anastacia,I'm Outta Love,2000
R Kelly,I Wish,2000
Bomfunk MCs,Freestyler,2000
Kid Rock,Only God Knows Why,2000
DMX,Party Up (Up In Here),2000
Lara Fabian,I Will Love Again,2000
Alice DeeJay,Better Off Alone,2000
Filter,Take A Picture,2000
Jessica Simpson,I Wanna Love You Forever,2000
Westlife,Swear It Again,2000
Jessica Simpson,I Think I'm In Love With You,2000
Bloodhound Gang,The Bad Touch,2000
Jo Dee Messina,That's The Way,2000
Vertical Horizon,You're A God,2000
Bow Wow,Bounce With Me,2000
Chad Brock,Yes!,2000
Jagged Edge,He Can't Love U,2000
Da Brat & Tyrese,What'chu Like,2000
U2,Beautiful Day,2000
Ja Rule & Christina Milian,Between Me & You,2000
Lifehouse,Hanging By A Moment,2001
Alicia Keys,Fallin',2001
Train,Drops Of Jupiter (Tell Me),2001
Eve & Gwen Stefani,Let Me Blow Ya Mind,2001
Shaggy,Angel,2001
Dido,Thank You,2001
Jennifer Lopez & Ja Rule,I'm Real,2001
Shaggy & Ricardo 'RikRok' Ducent,It Wasn't Me,2001
Mary J Blige,Family Affair,2001
"Christina Aguilera, Lil' Kim, Mya & Pink",Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),2001
Uncle Kracker,Follow Me,2001
Staind,It's Been Awhile,2001
Janet Jackson,All For You,2001
Blu Cantrell,Hit 'em Up Style (Oops!),2001
Usher,U Remind Me,2001
Nelly & City Spud,Ride Wit Me,2001
Crazy Town,Butterfly,2001
Jagged Edge & Nelly,Where The Party At,2001
Joe Thomas & Mystikal,Stutter,2001
Lenny Kravitz,Again,2001
Incubus,Drive,2001
Destiny's Child,Survivor,2001
City High,What Would You Do?,2001
Matchbox Twenty,If You're Gone,2001
112,Peaches 'n' Cream,2001
Jennifer Lopez,Love Don't Cost A Thing,2001
OutKast,Ms Jackson,2001
Nelly Furtado,I'm Like A Bird,2001
Missy 'Misdemeanor' Elliott,Get Ur Freak On,2001
Destiny's Child,Independent Woman,2001
Craig David,Fill Me In,2001
"Ja Rule, Lil' Mo & Vita",Put It On Me,2001
Enya,Only Time,2001
Destiny's Child,Bootylicious,2001
Nelly Furtado,Turn Off The Light,2001
Lee Ann Womack,I Hope You Dance,2001
Madonna,Don't Tell Me,2001
O-Town,All Or Nothing,2001
Ginuwine,Differences,2001
R Kelly & Jay-Z,Fiesta,2001
Moby & Gwen Stefani,South Side,2001
Janet Jackson,Someone To Call My Lover,2001
Ricky Martin & Christina Aguilera,Nobody Wants To Be Lonely,2001
Faith Hill,The Way You Love Me,2001
Toya,I Do,2001
Faith Hill,There You'll Be,2001
Enrique Iglesias,Hero,2001
K-Ci & JoJo,Crazy,2001
Aerosmith,Jaded,2001
Missy 'Misdemeanor' Elliott & Ludacris,One Minute Man,2001
Alien Ant Farm,Smooth Criminal,2001
Jennifer Lopez,Play,2001
Sugar Ray,When It's Over,2001
Usher,U Got It Bad,2001
Jay-Z,Izzo (Hova),2001
Dream,He Loves U Not,2001
S Club 7,Never Had A Dream Come True,2001
Case,Missing You,2001
Ja Rule & Case,Livin' It Up,2001
Michael Jackson,You Rock My World,2001
Nickelback,How You Remind Me,2001
Bow Wow,Bow Wow (That's My Name),2001
Jessica Simpson,Irresistible,2001
Gorillaz,Clint Eastwood,2001
Jagged Edge,Promise,2001
Daft Punk,One More Time,2001
Creed,With Arms Wide Open,2001
Mya,Case Of The Ex (Whatcha Gonna Do),2001
Sunshine Anderson,Heard It All Before,2001
Dave Matthews Band,The Space Between,2001
Mystikal & Nivea,Danger (Been So Long),2001
3LW,No More (Baby I'ma Do Right),2001
Tamia,Stranger In My House,2001
Eminem & Dido,Stan,2001
Musiq Soulchild,Love,2001
Guy Sebastian & Eve,Who's That Girl?,2001
LeAnn Rimes,Can't Fight The Moonlight,2001
Geri Halliwell,It's Raining Men,2001
Destiny's Child,Emotion,2001
Aaliyah,Rock The Boat,2001
Three Doors Down,Be Like That,2001
Michelle Branch,Everywhere,2001
Atomic Kitten,Whole Again,2001
OutKast,"So Fresh, So Clean",2001
The Backstreet Boys,More Than That,2001
Afroman,Because I Got High,2001
D12,Purple Pills,2001
Brooks & Dunn,Ain't Nothing 'Bout You,2001
Bubba Sparxxx,Ugly,2001
Lonestar,I'm Already There,2001
Three Doors Down,Kryptonite,2001
Evan & Jaron,Crazy For This Girl,2001
Blake Shelton,Austin,2001
Lil' Mo & Fabolous,Superwoman Pt. II,2001
Erick Sermon & Marvin Gaye,Music,2001
Trick Daddy,I'm A Thug,2001
112,It's Over Now,2001
The Isley Brothers & Ronald Isley,Contagious,2001
Petey Pablo,Raise Up,2001
Ludacris,Southern Hospitality,2001
"P Diddy, Usher & Loon",I Need A Girl,2002
Nickelback,How You Remind Me,2002
Vanessa Carlton,A Thousand Miles,2002
Ashanti,Foolish,2002
Nelly & Kelly Rowland,Dilemma,2002
Avril Lavigne,Complicated,2002
The Calling,Wherever You Will Go,2002
Nelly,Hot In Herre,2002
Eminem,Without Me,2002
Fat Joe & Ashanti,What's Luv?,2002
Puddle of Mudd,Blurry,2002
Linkin Park,In The End,2002
Jennifer Lopez & Ja Rule,Ain't It Funny,2002
Shakira,"Whenever, Wherever",2002
Ja Rule & Ashanti,Always On Time,2002
Jimmy Eat World,The Middle,2002
Chad Kroeger & Josey Scott,Hero,2002
Eve & Alicia Keys,Gangsta Lovin',2002
Pink,Get The Party Started,2002
Shakira,Underneath Your Clothes,2002
DJ Sammy & Yanou,Heaven,2002
Enrique Iglesias,Hero,2002
Jennifer Lopez,I'm Gonna Be Alright,2002
Usher,U Got It Bad,2002
Usher,U Don't Have To Call,2002
Creed,One Last Breath,2002
Pink,Don't Let Me Get Me,2002
Eminem,Cleanin' Out My Closet,2002
Michelle Branch,All You Wanted,2002
Default,Wasting My Time,2002
N Sync & Nelly,Girlfriend,2002
Kylie Minogue,Can't Get You Out Of My Head,2002
Sheryl Crow,Soak Up The Sun,2002
Pink,Just Like A Pill,2002
Missy 'Misdemeanor' Elliott,Work It,2002
Las Ketchup,The Ketchup Song (Asereje),2002
Enrique Iglesias,Escape,2002
Creed,My Sacrifice,2002
Ashanti,Happy,2002
No Doubt,Hey Baby,2002
Daniel Bedingfield,Gotta Get Thru This,2002
Eminem,Lose Yourself,2002
Cam'ron & Juelz Santana,Oh Boy,2002
NORE,Nothin',2002
Tweet,Oops (Oh My),2002
Mary J Blige,Family Affair,2002
No Doubt & Lady Saw,Underneath It All,2002
Sean Paul,Gimme The Light,2002
Brandy,What About Us,2002
Aaliyah,More Than A Woman,2002
Irv Gotti,Down 4 U,2002
Red Hot Chili Peppers,By The Way,2002
Cam'ron & Juelz Santana,Hey Ma,2002
Celine Dion,A New Day Has Come,2002
LL Cool J,Luv U Better,2002
Mario,Just A Friend,2002
John Mayer,No Such Thing,2002
Justin Timberlake,Like I Love You,2002
No Doubt,Hella Good,2002
Musiq Soulchild,halfcrazy,2002
Big Tymers,Still Fly,2002
"Angie Martinez, Lil' Mo & Sacario",If I Could Go!,2002
Truth Hurts,Addictive,2002
Elvis Presley & JXL,A Little Less Conversation,2002
"Ludacris, Mystikal & Infamous 2.0",Move B***h,2002
"Busta Rhymes, P Diddy & Pharrell Williams",Pass the Courvoisier - Part II,2002
Brandy,Full Moon,2002
Mary J Blige & Ja Rule,Rainy Dayz,2002
R Kelly,The World's Greatest,2002
Alanis Morissette,Hands Clean,2002
Jennifer Lopez,Jenny From The Block,2002
OutKast,The Whole World,2002
Madonna,Die Another Day,2002
Mary J Blige,No More Drama,2002
Santana & Michelle Branch,The Game Of Love,2002
Kelly Clarkson,A Moment Like This,2002
Ashanti,Baby,2002
Faith Evans,I Love You,2002
LeAnn Rimes,Can't Fight The Moonlight,2002
Kylie Minogue,Love At 1st Sight,2002
Five for Fighting,Superman (It's Not Easy),2002
Mr Cheeks,"Lights, Camera, Action!",2002
Avril Lavigne,Sk8er Boi,2002
Dirty Vegas,Days Go By,2002
Craig David,7 Days,2002
POD,Youth Of The Nation,2002
Nappy Roots & Anthony Hamilton,Po' Folks,2002
Aaliyah,I Care 4 U,2002
The Goo Goo Dolls,Here Is Gone,2002
Kenny Chesney,Good Stuff,2002
Wyclef Jean & Claudette Ortiz,Two Wrongs,2002
Keith Urban,Somebody Like You,2002
Alicia Keys,A Woman's Worth,2002
Nivea & Brian & Brandon Casey,Don't Mess With My Man,2002
B2K,Uh Huh,2002
Nickelback,Too Bad,2002
Christina Aguilera & Redman,Dirrty,2002
Busta Rhymes,Break Ya Neck,2002
Alan Jackson,Drive (For Daddy Gene),2002
Jaheim & Next,Anything,2002
50 Cent,In Da Club,2003
Sean Paul,Get Busy,2003
Evanescence & Paul McCoy,Bring Me To Life,2003
Beyonce & Jay-Z,Crazy In Love,2003
R Kelly,Ignition,2003
Matchbox Twenty,Unwell,2003
The Black Eyed Peas,Where Is The Love?,2003
Chingy,Right Thurr,2003
Beyonce,Baby Boy,2003
Three Doors Down,When I'm Gone,2003
"Nelly, P Diddy & Murphy Lee",Shake Ya Tailfeather,2003
Busta Rhymes & Mariah Carey,I Know What You Want,2003
Lil' Jon & The East Side Boyz,Get Low,2003
Jennifer Lopez & LL Cool J,All I Have,2003
50 Cent & Nate Dogg,21 Questions,2003
Eminem,Lose Yourself,2003
50 Cent,PIMP,2003
Christina Aguilera & Beverly McClellan,Beautiful,2003
Avril Lavigne,I'm With You,2003
Aaliyah,Miss You,2003
B2K & P Diddy,Bump Bump Bump,2003
Kid Rock & Sheryl Crow,Picture,2003
Uncle Kracker & Dobie Gray,Drift Away,2003
Wayne Wonder,No Letting Go,2003
Justin Timberlake,Rock Your Body,2003
Fabolous & Tamia,Into You,2003
Justin Timberlake,Cry Me A River,2003
Snoop Dogg & Pharrell Williams,Beautiful,2003
t.A.T.u.,All The Things She Said,2003
Lil' Kim & 50 Cent,Magic Stick,2003
Ashanti,Rock Wit U (Awww Baby),2003
Pharrell Williams & Jay-Z,Frontin',2003
Fabolous & Mike Shorey,Can't Let You Go,2003
Ja Rule & Ashanti,Mesmerize,2003
Trapt,Headstrong,2003
Daniel Bedingfield,If You're Not The One,2003
Tyrese,How You Gonna Act Like That,2003
Beyonce & Jay-Z,03 Bonnie & Clyde,2003
Dido,White Flag,2003
Ludacris & Shaunna,Stand Up,2003
"Christina Aguilera, Lil' Kim, Mya & Pink",Can't Hold Us Down,2003
Santana & Michelle Branch,The Game Of Love,2003
YoungBloodZ & Lil' Jon,Damn!,2003
Kelly Clarkson,Miss Independent,2003
Shania Twain,Forever And For Always,2003
Train,Calling All Angels,2003
Blu Cantrell & Sean Paul,Breathe,2003
Missy 'Misdemeanor' Elliott,Gossip Folks,2003
Sean Paul,Like Glue,2003
Santana & Chad Kroeger,Why Don't You & I,2003
Eminem,Sing For The Moment,2003
Monica,So Gone,2003
Jason Mraz,The Remedy (I Won't Worry),2003
Christina Aguilera,Fighter,2003
Three Doors Down,Here Without You,2003
Coldplay,Clocks,2003
Lumidee,"Never Leave You - Uh Ooh, Uh Oooh!",2003
R Kelly,Thoia Thoing,2003
Linkin Park,Somewhere I Belong,2003
John Mayer,Your Body Is A Wonderland,2003
Nickelback,Someday,2003
OutKast,Hey Ya!,2003
Jay-Z,Excuse Me Miss,2003
Baby Bash & Frankie J,Suga Suga,2003
Nivea & Brian & Brandon Casey,Don't Mess With My Man,2003
R Kelly,Step In The Name Of Love,2003
The Dixie Chicks,Landslide,2003
Ginuwine,In Those Jeans,2003
NAS,I Can,2003
"Chingy, Ludacris & Snoop Dogg",Holidae Inn,2003
Michelle Branch,Are You Happy Now,2003
Pink,Family Portrait,2003
Mya,My Love Is Like... Wo,2003
Amanda Perez,Angel,2003
Lil' Kim & Mr Cheeks,The Jump Off,2003
Jewel,Intuition,2003
Counting Crows & Vanessa Carlton,Big Yellow Taxi,2003
Jennifer Lopez,Jenny From The Block,2003
Ashanti,Rain On Me,2003
Good Charlotte,Lifestyles Of The Rich & Famous,2003
Staind,So Far Away,2003
Alan Jackson & Jimmy Buffett,It's Five O'Clock Somewhere,2003
Lonestar,My Front Porch Looking In,2003
OutKast,The Way You Move,2003
Jagged Edge,Walked Outta Heaven,2003
Ginuwine & Baby,Hell Yeah,2003
Frankie J,Don't Wanna Try,2003
Young Gunz,"Can't Stop, Won't Stop",2003
Maroon 5,Harder To Breathe,2003
"Nelly, Kyjuan, Ali & Murphy Lee",Air Force Ones,2003
Toby Keith & Willie Nelson,Beer For My Horses,2003
Jaheim,Put That Woman First,2003
Stacie Orrico,Stuck,2003
Linkin Park,Faint,2003
Missy 'Misdemeanor' Elliott,Work It,2003
Justin Timberlake,Senorita,2003
Phil Collins,Can't Stop Loving You,2003
Stacie Orrico,(There's Gotta Be) More To Life,2003
Hilary Duff,So Yesterday,2003
50 Cent,Wanksta,2003
"Usher, Lil' Jon & Ludacris",Yeah!,2004
Maroon 5,This Love,2004
"Mario Winans, Enya & P Diddy",I Don't Wanna Know,2004
Usher,Burn,2004
Alicia Keys,If I Ain't Got You,2004
Hoobastank,The Reason,2004
OutKast,Hey Ya!,2004
J-Kwon,Tipsy,2004
Evanescence,My Immortal,2004
Terror Squad,Lean Back,2004
Ciara & Petey Pablo,Goodies,2004
OutKast,The Way You Move,2004
Kevin Lyttle,Turn Me On,2004
Usher,Confessions Part II,2004
Christina Milian & Samy Deluxe,Dip It Low,2004
Eamon,F**k it (I Don't Want You Back),2004
Petey Pablo,Freek-A-Leek,2004
Three Doors Down,Here Without You,2004
JoJo,Leave (Get Out),2004
Juvenile & Soulja Slim,Slow Motion,2004
Britney Spears,Toxic,2004
Maroon 5,She Will Be Loved,2004
Beyonce,Naughty Girl,2004
Nina Sky & Jabba,Move Ya Body,2004
Cassidy & R Kelly,Hotel,2004
Nickelback,Someday,2004
"Twista, Kanye West & Jamie Foxx",Slow Jamz,2004
Usher & Alicia Keys,My Boo,2004
Lil' Flip,Sunshine,2004
Destiny's Child,Lose My Breath,2004
D12 & Eminem,My Band,2004
Avril Lavigne,My Happy Ending,2004
Sean Paul & Sasha,I'm Still In Love With You,2004
Nelly & Jaheim,My Place,2004
Alicia Keys & Tony! Toni! Tone!,Diary,2004
Britney Spears,Everytime,2004
Jay-Z,Dirt Off Your Shoulder,2004
Chingy & J Weav,One Call Away,2004
Ashlee Simpson,Pieces Of Me,2004
No Doubt,It's My Life,2004
Los Lonely Boys,Heaven,2004
Linkin Park,Numb,2004
"Houston, Chingy, Nate Dogg & I-20",I Like That,2004
Sheryl Crow,The First Cut Is The Deepest,2004
Akon & Styles P,Locked Up,2004
Dido,White Flag,2004
O-Zone,Dragostea din tei,2004
The Black Eyed Peas,Let's Get It Started,2004
Kanye West,Jesus Walks,2004
The Black Eyed Peas,Hey Mama,2004
Beyonce,"Me, Myself & I",2004
Twista,Overnight Celebrity,2004
Jessica Simpson,With You,2004
Switchfoot,Meant To Live,2004
OutKast,Roses,2004
Avril Lavigne,Don't Tell Me,2004
Kelis,Milkshake,2004
Kanye West & Syleena Johnson,All Fall Down,2004
Eminem,Just Lose It,2004
Snoop Dogg & Pharrell Williams,Drop It Like It's Hot,2004
Lloyd Banks,On Fire,2004
Ludacris,Splash Waterfalls,2004
Alicia Keys,You Don't Know My Name,2004
Kelly Clarkson,Breakaway,2004
Beenie Man & Ms Thing,Dude,2004
Finger Eleven,One Thing,2004
Anastacia,Left Outside Alone,2004
Ruben Studdard,Sorry 2004,2004
Ryan Cabrera,On The Way Down,2004
Ying Yang Twins & Lil Jon & The East Side Boyz,Salt Shaker,2004
Linkin Park,Breaking The Habit,2004
Kanye West,Through The Wire,2004
R Kelly,Happy People,2004
Jet,Are You Gonna Be My Girl?,2004
LL Cool J,Headsprung,2004
Seether & Amy Lee,Broken,2004
Jadakiss & Anthony Hamilton,Why?,2004
Lil' Flip,Game Over (Flip),2004
Five for Fighting,One Hundred Years,2004
"NORE & Nina Sky, Daddy Yankee, Gem Star & Big Mato",Oye Mi Canto,2004
"Trick Daddy, Lil' Jon & Twista",Let's Go,2004
Ja Rule & Ashanti,Wonderful,2004
Monica,U Should've Known Better,2004
blink-182,I Miss You,2004
The Black Eyed Peas,Shut Up!,2004
U2,Vertigo,2004
Counting Crows,Accidentally In Love,2004
Nelly & Tim McGraw,Over & Over,2004
Fabolous,Breathe,2004
Tim McGraw,Live Like You Were Dying,2004
G-Unit,Wanna Get To Know You,2004
Baby Bash & Frankie J,Suga Suga,2004
Gretchen Wilson,Redneck Woman,2004
Seal,Love's Divine,2004
Green Day,American Idiot,2004
Lloyd & Ashanti,Southside,2004
Kenny Chesney & Uncle Kracker,When The Sun Goes Down,2004
Limp Bizkit,Behind Blue Eyes,2004
Ludacris & Shaunna,Stand Up,2004
D12,How Come,2004
Mariah Carey,We Belong Together,2005
Kelly Clarkson,Since U Been Gone,2005
The Pussycat Dolls,Don't Cha,2005
Gwen Stefani,Hollaback Girl,2005
Mario,Let Me Love You,2005
Green Day,Boulevard Of Broken Dreams,2005
50 Cent & Olivia,Candy Shop,2005
Ciara & Missy 'Misdemeanor' Elliot,1-2 Step,2005
Gorillaz,Feel Good Inc,2005
The Black Eyed Peas,Don't Phunk With My Heart,2005
Rihanna,Pon de replay,2005
Kelly Clarkson,Behind These Hazel Eyes,2005
Will Smith,Switch,2005
Lifehouse,You & Me,2005
Kanye West & Jamie Foxx,Gold Digger,2005
Rob Thomas,Lonely No More,2005
Akon,Lonely,2005
Weezer,Beverly Hills,2005
Missy 'Misdemeanor' Elliott,Lose Control,2005
50 Cent,Just A Lil Bit,2005
The Killers,Mr Brightside,2005
The Game & 50 Cent,How We Do,2005
The Game & 50 Cent,Hate It Or Love It,2005
Gwen Stefani & Eve,Rich Girl,2005
Shakira & Alejandro Sanz,La tortura,2005
Ciara & Ludacris,Oh,2005
50 Cent,Disco Inferno,2005
Snoop Dogg & Pharrell Williams,Drop It Like It's Hot,2005
